trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-147.1914777274192,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,0,-133.82878187381448,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-74.79347439246474,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-81.85406700375925,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-58.785233746440355,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",35,0,-203.14983574523723,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,3,-187.22067108820974,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 2}",1
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-165.6045949929211,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,0,-158.6217963930588,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",30,0,-120.0235689936094,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-123.28737298509292,"{0: 11, 1: 2, 2: 12, 3: 0, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-175.49938946539035,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-76.40100414190437,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-161.87230940388474,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-90.29030330893139,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-140.1256987167275,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-98.6832073596347,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",25,0,-74.5787596388267,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-37.30944901958557,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-15.582955995547252,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-115.12364115227041,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,0,-150.02588639255436,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,0,-16.82376186389732,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-119.65127650702934,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",25,11,-53.65813029271251,"{0: 6, 1: 3, 2: 5, 3: 0, 4: 0}",1
26,False,"{'a': 0.002, 'e': 0.951229424500714}",25,0,-146.62505212233566,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",30,0,-94.12626192633898,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,0,-114.9413587636192,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-80.85619835878705,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",25,5,-34.591720821795235,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,0,-149.51469136858051,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",25,0,-25.307685468875473,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",20,0,-31.332222509987137,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",20,0,-49.991502967965346,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",20,0,-73.56662232027817,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-17.398964217721982,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",20,0,-143.16579726489326,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",30,0,-119.53028541966269,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",25,0,-182.01772376187813,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",25,0,-194.71617886438878,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",30,0,-62.03909814187592,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",25,0,-122.8645368506373,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",25,0,-103.94491972918901,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",25,0,-95.66915099085743,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-40.30343100461909,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",35,0,-130.88563007912975,"{0: 21, 1: 4, 2: 7, 3: 3, 4: 0}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",25,0,-62.919783783834305,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,0,-37.78481265854302,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",25,0,-145.2877716355446,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,0,-118.46513771045774,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",25,0,-151.84896401053496,"{0: 11, 1: 7, 2: 5, 3: 0, 4: 2}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",25,3,-66.54759340823418,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,15,1.1276508428630045,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.002, 'e': 0.899424648075924}",20,0,-155.78157543114452,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",20,0,-110.47267140328705,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",25,14,-17.738836029784924,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,-48.07702300625979,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",30,0,-77.82340941729889,"{0: 22, 1: 0, 2: 6, 3: 2, 4: 0}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",20,0,-107.6565423401277,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",30,0,-118.43019170791169,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",25,0,-130.78168766160886,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",30,10,-77.71211485049857,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",20,0,-23.18053525485233,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",20,0,-108.66297472691181,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",20,0,-108.95661629505187,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,0,-40.25038096830361,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,0,-22.143352156082496,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",25,0,-128.28844246791326,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",30,10,-78.63949291575084,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",25,0,-114.86930921800132,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",20,0,-65.59695779856546,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",30,0,-120.99019917394952,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",20,0,-29.084182075161202,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-88.16633289720906,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,13,-29.505230663371908,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",30,5,-40.55792767614509,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",1
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",20,0,-45.462168439740104,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-161.38294108741266,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",20,0,-145.11298083294315,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",25,0,-62.69376379985389,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,14,-8.381985437961383,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.002, 'e': 0.850441204540233}",20,6,0.16759541026304992,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,2,-105.1290703821957,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-157.67400895565297,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",25,0,-69.0657424673703,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",20,8,-47.65459658305036,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",20,0,-84.80254942954274,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",1
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",25,0,-104.02101112711581,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
89,False,"{'a': 0.002, 'e': 0.838617983337074}",20,0,-174.6385586133448,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",20,0,-106.83007888687462,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
91,False,"{'a': 0.002, 'e': 0.835270211411272}",25,5,-93.66318589331918,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",20,0,0.11245740176180674,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",25,0,-16.9665020299454,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",20,16,7.056360114746303,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",20,0,-80.30605254382135,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",25,0,-69.93095780566229,"{0: 13, 1: 8, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",25,0,-127.68985862265826,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",20,0,-39.590402731297154,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",35,0,-166.83836551385613,"{0: 22, 1: 6, 2: 4, 3: 0, 4: 3}",0
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",25,11,-39.18161129336842,"{0: 6, 1: 5, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",30,0,-33.21749447695564,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",25,0,-153.92046319058448,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",20,5,-23.02734299817949,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",20,11,-30.1792842793709,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.002, 'e': 0.812207036711939}",25,1,-83.90864229108448,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 1}",1
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",20,0,-74.96027249345406,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
