trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-138.70038339673437,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,0,-75.94563584381083,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-138.6075346901181,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-70.41639705726881,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",30,0,-109.85061024338873,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-158.09604189087523,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-67.13068495595114,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",30,0,-49.91612702943969,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-122.89410258837695,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-194.54379485346777,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-132.79557495502755,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",25,0,-122.48743683433456,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-36.84915681751392,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-153.97169334526995,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-180.79875305633126,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",1
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",30,0,-143.8097319358405,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-130.6281003399895,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",30,0,-116.79765957695479,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,0,-102.78871923067125,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,0,-77.9284847904192,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-84.2594252010942,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-87.20351796954161,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-117.47277056908239,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-165.3055583099367,"{0: 15, 1: 5, 2: 6, 3: 3, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-82.76007613435884,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-153.47519750832828,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,5,12.129295240291334,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-124.44244147030054,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-160.1093233096912,"{0: 14, 1: 3, 2: 12, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-34.13294943276856,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,0,-150.20170868235007,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
12,True,"{'a': 0, 'e': 0}",20,0,-130.94215841758148,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
13,True,"{'a': 0, 'e': 0}",25,0,-125.87316442247982,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
14,True,"{'a': 0, 'e': 0}",20,0,-139.64426295106637,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
15,True,"{'a': 0, 'e': 0}",25,0,-151.13017399865024,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
16,True,"{'a': 0, 'e': 0}",20,0,-70.7061005641518,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,True,"{'a': 0, 'e': 0}",20,0,-96.6608228008528,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",20,0,-89.84268580006433,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
19,True,"{'a': 0, 'e': 0}",20,0,-130.73123511359256,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
20,True,"{'a': 0, 'e': 0}",25,0,-86.76827845305074,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
